dimension,questionname,start_Mean,start_SD,end_Mean,end_SD,p-value,trend
力量,能够适应变化,4.035714285714286,0.8811668550592598,4.214285714285714,0.6299407883487121,0.1696401077412989,"维持, 均值增大"
乐观性,有亲密和可信赖的人际关系,4.071428571428571,0.8132500607904445,4.178571428571429,0.9048663264720755,0.37529235300823716,"维持, 均值增大"
乐观性,有时候运气不错,3.9285714285714284,1.0157490003667402,4.0,1.0886621079036347,0.6458310592367333,"维持, 均值增大"
乐观性,能够处理好发生的任何事情,3.392857142857143,1.030615986761952,3.5714285714285716,1.0690449676496976,0.25867503646768086,"维持, 均值增大"
力量,过去的成功经历使你有信心来面对新的挑战,3.5714285714285716,0.959497222838566,3.9285714285714284,0.8997354108424375,0.009654822780493028,"(**)极显著 维持, 均值增大"
乐观性,看到事情乐观的一面,3.5357142857142856,1.1049431980420854,4.071428571428571,0.8132500607904444,0.008541916081644979,"(**)极显著 维持, 均值增大"
力量,应对压力的能力不断增强,3.892857142857143,0.7859547491585427,4.0,0.769800358919501,0.5867700458654881,"维持, 均值增大"
力量,在遭遇疾病或困难之后能够很快恢复,3.3214285714285716,1.020296668133975,3.75,1.0046189622236181,0.043221733716206266,"(*)显著 增大, 均值增大"
力量,认为事出必有因,3.75,0.927960727138337,3.642857142857143,0.9114207758701962,0.4152918174918281,维持
力量,无论做什么都会竭尽全力,3.1785714285714284,0.9833266074561477,3.5,1.1055415967851334,0.036382589402257366,"(*)显著 增大, 均值增大"
坚韧,能够实现自己的目标,3.5714285714285716,0.8357108940373451,3.7857142857142856,0.8325393042503717,0.16103934953023086,"增大, 均值增大"
坚韧,即使事情看来没希望了，也不放弃,3.4642857142857144,1.1049431980420852,3.607142857142857,0.956044540814477,0.4752526715212779,"减小, 均值增大"
坚韧,知道到哪里寻求帮助,3.75,0.9670497325294006,3.892857142857143,0.9940297973880048,0.4036042644272839,"维持, 均值增大"
坚韧,在压力下，仍能神情专注、头脑清醒,3.392857142857143,0.8751417118804335,3.607142857142857,1.1655323283657166,0.28124667661310576,"增大, 均值增大"
坚韧,愿意率先带头去解决问题,3.6785714285714284,1.0559731838826993,3.5357142857142856,0.9993384054849732,0.44279119248126353,维持
坚韧,不容易被失败挫伤勇气,3.357142857142857,0.9893613995077728,3.5357142857142856,1.0357370915204895,0.3787887229670339,"减小, 均值增大"
坚韧,自认是个强者,3.0357142857142856,1.1379690439434393,3.2857142857142856,1.1501092655705902,0.05025428928335971,"(-)轻微显著 维持, 均值增大"
坚韧,勇于作出他人不愿或难以作出的决定,3.392857142857143,1.1001442906807546,3.5357142857142856,1.1379690439434391,0.35511124764714774,"增大, 均值增大"
坚韧,能够掌控不良情绪,3.2857142857142856,0.8967902788460655,3.4642857142857144,1.0357370915204895,0.3938475489109452,"增大, 均值增大"
坚韧,处理生活难题，有时不得不依靠直觉行事,2.107142857142857,0.9164862737363227,2.142857142857143,0.8908708063747479,0.7690717158092564,"维持, 均值增大"
坚韧,有强烈的使命感,3.1785714285714284,1.2781227967601094,3.392857142857143,1.2572540835836767,0.08304492144795923,"(-)轻微显著 增大, 均值增大"
坚韧,能够管理好自己的生活,3.642857142857143,0.9511897312113418,3.892857142857143,1.0659471779799348,0.06976161388222679,"(-)轻微显著 维持, 均值增大"
坚韧,喜欢接受挑战,3.4642857142857144,1.231745008999739,3.5714285714285716,1.0338196500275416,0.44861400074734215,"增大, 均值增大"
力量,致力于实现自己的目标,4.0,0.816496580927726,4.0,0.9813067629253163,1.0,维持
力量,为自己取得的成就而自豪,4.464285714285714,0.792658109342785,4.357142857142857,0.8261595987094036,0.2643228801997271,维持
